agent_id|agent_first_name|agent_last_name|agent_email|agent_phone|agency_name|agency_city|agency_state|agency_zip|license_number|licensed_states|line_of_business|hire_date|termination_date|is_active|ytd_policies_written|ytd_premium_written|created_date|modified_date
AGT00001|Kenneth|Davis|kenneth.davis95@libertymutualgroup.com|(758) 289-7912|Liberty Mutual Group|Los Angeles|CA|90001|LIC131244|CA|Auto|2016-03-03||1|55|116330.45|2016-03-03|2016-04-26
AGT00002|Emily|Gonzalez|emily.gonzalez90@libertymutualgroup.com|632-548-5552|Liberty Mutual Group|Riverside|CA|92501|LIC325772|NY~KY~TX|Commercial|2019-05-30||1|26|46372.92|2019-05-30|2019-12-14
AGT00003|Daniel|Thompson|daniel.thompson11@allstateagency.com|+17655006925|Allstate Agency|Arlington|TX|76001|LIC301629|WI|Auto|2015-12-07||1|11|330631.66|2015-12-07|2017-07-21
AGT00004|Jennifer|Anderson|jennifer.anderson27@progressivedirect.com|+18864732169|Progressive Direct|San Antonio|TX|78201|LIC765822|TX~NV~OR|Homeowners|2018-07-11||1|136|364563.4|2018-07-11|2019-06-10
AGT00005|Ashley|Harris|ashley.harris5@farmersinsurance.com|(523) 610-5386|Farmers Insurance|Denver|CO|80201|LIC321231|IN|All Lines|2014-12-05||1|80|106313.27|2014-12-05|2017-09-22
AGT00006|Margaret|Adams|margaret.adams75@progressivedirect.com|608-570-4593|Progressive Direct|Atlanta|GA|30301|LIC634277|PA~LA~CA|Multi-Line|2013-03-16||1|23|377891.08|2013-03-16|2013-10-26
AGT00007|Barbara|Green|barbara.green71@cnapartners.com|(211)896-2876|CNA Partners|Austin|TX|73301|LIC663054|TX~GA~FL~WA|Commercial|2019-06-21|2029-02-01|0|0|0.0|2019-06-21|2021-05-17
AGT00008|Linda|Jackson|linda.jackson65@travelersagency.com|(308)840-5889|Travelers Agency|Fresno|CA|93701|LIC632323|NC~KY~TX|All Lines|2013-07-19|2016-10-10|0|0|0.0|2013-07-19|2014-05-28
AGT00009|Betty|Carter|betty.carter31@allstateagency.com|(259) 446-2290|Allstate Agency|Austin|TX|73301|LIC867460|CA~CA~NV~OK|Multi-Line|2021-11-23||1|17|488992.25|2021-11-23|2024-11-17
AGT00010|Stephanie|Rodriguez|stephanie.rodriguez89@hartfordagency.com|4059306107|Hartford Agency|Dallas|TX|75201|LIC804314|NC~OH~KY~MO|Commercial|2020-08-29||1|112|449807.04|2020-08-29|2023-03-11
AGT00011|Linda|Thomas|linda.thomas1@farmersinsurance.com|272-924-1964|Farmers Insurance|Indianapolis|IN|46201|LIC170674|LA~IN|Auto|2011-06-09|2016-02-21|0|0|0.0|2011-06-09|2011-11-01
AGT00012|Steven|Thomas|steven.thomas13@libertymutualgroup.com|299.874.8062|Liberty Mutual Group|Denver|CO|80201|LIC544154|CA~MO~AZ~OH|Multi-Line|2020-11-20||1|119|431918.37|2020-11-20|2021-03-10
AGT00013|Amanda|Adams|amanda.adams25@allstateagency.com|7496593296|Allstate Agency|Anaheim|CA|92801|LIC292401|TX~CA~OH|Commercial|2012-03-17||1|118|124903.22|2012-03-17|2012-08-18
AGT00014|Mark|Scott|mark.scott31@hartfordagency.com|3706168956|Hartford Agency|San Antonio|TX|78201|LIC324130|KY|Multi-Line|2011-02-19||1|15|82318.56|2011-02-19|2011-02-23
AGT00015|Matthew|Taylor|matthew.taylor8@usaaagency.com|(793) 953-9883|USAA Agency|Atlanta|GA|30301|LIC884309|FL~OH~TN~NC|Commercial|2016-05-25||1|14|25071.17|2016-05-25|2019-01-26
AGT00016|Steven|King|steven.king9@hartfordagency.com|(891) 440-7615|Hartford Agency|Austin|TX|73301|LIC697347|AZ~TX|Homeowners|2011-04-11||1|148|297259.58|2011-04-11|2011-09-25
AGT00017|Anthony|Nelson|anthony.nelson41@farmersinsurance.com|444-471-7484|Farmers Insurance|New Orleans|LA|70112|LIC804318|CO~CA|Commercial|2021-09-22||1|117|158088.6|2021-09-22|2022-02-17
AGT00018|James|Robinson|james.robinson32@statefarmoffice.com|5784913584|State Farm Office|Bakersfield|CA|93301|LIC974244|TX~OR~AZ|All Lines|2012-03-30||1|77|305838.88|2012-03-30|2015-03-18
AGT00019|James|Nelson|james.nelson14@statefarmoffice.com|960.766.3546|State Farm Office|Minneapolis|MN|55401|LIC395442|WA~CA|All Lines|2016-09-18||1|53|358806.09|2016-09-18|2017-11-08
AGT00020|Amanda|Green|amanda.green82@travelersagency.com|(633) 483-1722|Travelers Agency|Seattle|WA|98101|LIC449759|PA|Homeowners|2021-05-03||1|67|80790.99|2021-05-03|2023-10-24
AGT00021|Emily|Rivera|emily.rivera48@statefarmoffice.com|7967653426|State Farm Office|Fresno|CA|93701|LIC233636|OH~IL|Auto|2010-03-21|2014-09-03|0|0|0.0|2010-03-21|2012-04-05
AGT00022|John|Thompson|john.thompson21@statefarmoffice.com|381-622-1406|State Farm Office|Charlotte|NC|28201|LIC872343|CA~PA~FL~CA|Commercial|2015-08-07||1|105|401117.57|2015-08-07|2016-12-27
AGT00023|Karen|Hernandez|karen.hernandez40@usaaagency.com|(433)428-1387|USAA Agency|Corpus Christi|TX|78401|LIC302511|IN~OH~GA~OR|Multi-Line|2012-06-04||1|84|139301.53|2012-06-04|2012-10-24
AGT00024|Stephanie|Moore|stephanie.moore23@usaaagency.com|(794) 471-1626|USAA Agency|Portland|OR|97201|LIC725550|CA~CA~WA|Multi-Line|2021-06-05||1|88|364272.53|2021-06-05|2023-03-09
AGT00025|Sandra|Hill|sandra.hill91@usaaagency.com|+16462019518|USAA Agency|Raleigh|NC|27601|LIC820221|WA~IL|Homeowners|2012-08-05||1|93|215648.7|2012-08-05|2014-06-12
AGT00026|Michelle|Lee|michelle.lee71@progressivedirect.com|(330)396-7888|Progressive Direct|Aurora|CO|80010|LIC497562|TN~NM~TX~TN|Homeowners|2012-10-17||1|145|150474.94|2012-10-17|2012-10-17
AGT00027|Lisa|Jackson|lisa.jackson28@cnapartners.com|(723)684-3780|CNA Partners|Charlotte|NC|28201|LIC188914|GA~CA~CA|Commercial|2019-08-23||1|131|331926.92|2019-08-23|2021-07-09
AGT00028|Jennifer|Carter|jennifer.carter32@libertymutualgroup.com|6868252193|Liberty Mutual Group|San Francisco|CA|94101|LIC534572|CA~IL|All Lines|2016-12-17||1|49|359172.96|2016-12-17|2019-02-11
AGT00029|Dorothy|Sanchez|dorothy.sanchez55@allstateagency.com|4243809486|Allstate Agency|San Francisco|CA|94101|LIC152657|AK|All Lines|2013-04-23||1|63|458735.01|2013-04-23|2013-12-27
AGT00030|Ashley|Rodriguez|ashley.rodriguez71@hartfordagency.com|6563628777|Hartford Agency|Atlanta|GA|30301|LIC371782|CA~MO~NC~CA|Homeowners|2021-11-30||1|70|382906.84|2021-11-30|2024-11-01
AGT00031|Dorothy|Green|dorothy.green41@travelersagency.com|753-282-3267|Travelers Agency|San Francisco|CA|94101|LIC342495|CA~CO~KY|Multi-Line|2016-02-28|2024-12-09|0|0|0.0|2016-02-28|2017-01-05
AGT00032|Melissa|Wilson|melissa.wilson99@usaaagency.com|+17989121320|USAA Agency|Phoenix|AZ|85001|LIC498858|AZ~TX~NC~WI|Multi-Line|2019-04-22||1|1|471370.83|2019-04-22|2020-12-23
AGT00033|Timothy|Harris|timothy.harris86@travelersagency.com|8956143704|Travelers Agency|Tucson|AZ|85701|LIC233827|NE~CA~WI~KY|All Lines|2014-12-12||1|136|13483.23|2014-12-12|2017-02-25
AGT00034|Donna|Torres|donna.torres7@statefarmoffice.com|466-588-6363|State Farm Office|Aurora|CO|80010|LIC576786|GA~TX|Commercial|2010-08-11||1|86|380614.85|2010-08-11|2012-09-25
AGT00035|Karen|Carter|karen.carter29@statefarmoffice.com|(865) 270-1659|State Farm Office|Tucson|AZ|85701|LIC359295|OR|Homeowners|2015-08-29||1|5|310667.83|2015-08-29|2016-12-29
AGT00036|William|Walker|william.walker22@cnapartners.com|820-821-2876|CNA Partners|Aurora|CO|80010|LIC426147|TX~WA~AK~NV|Auto|2012-07-26||1|148|12839.21|2012-07-26|2014-04-25
AGT00037|Andrew|Baker|andrew.baker99@libertymutualgroup.com|+15089002983|Liberty Mutual Group|Milwaukee|WI|53201|LIC920652|TX~TX|Auto|2018-11-24|2023-10-16|0|0|0.0|2018-11-24|2021-11-19
AGT00038|Sandra|Nelson|sandra.nelson63@hartfordagency.com|(308)643-6934|Hartford Agency|Las Vegas|NV|89101|LIC968962|AZ|Multi-Line|2011-07-19||1|39|217743.57|2011-07-19|2014-06-21
AGT00039|Carol|Moore|carol.moore36@travelersagency.com|+16614498613|Travelers Agency|Bakersfield|CA|93301|LIC739979|TN~CA~PA|Multi-Line|2020-11-04||1|86|14350.0|2020-11-04|2022-08-31
AGT00040|Susan|Young|susan.young25@progressivedirect.com|2874477658|Progressive Direct|Charlotte|NC|28201|LIC682144|MN~NY~FL|Homeowners|2017-12-16||1|121|322951.45|2017-12-16|2020-09-16
AGT00041|Mark|Johnson|mark.johnson75@libertymutualgroup.com|577.684.9698|Liberty Mutual Group|Philadelphia|PA|19101|LIC546173|OK~CO|All Lines|2016-08-07||1|84|175905.26|2016-08-07|2019-02-22
AGT00042|Karen|Martin|karen.martin98@statefarmoffice.com|906-389-4138|State Farm Office|Seattle|WA|98101|LIC874483|CA~PA~OH|Multi-Line|2015-03-04||1|70|362292.5|2015-03-04|2018-02-10
AGT00043|Joshua|Jackson|joshua.jackson91@progressivedirect.com|(746) 329-5494|Progressive Direct|San Antonio|TX|78201|LIC157174|OK~NY|All Lines|2014-05-10||1|74|348708.7|2014-05-10|2015-01-23
AGT00044|Kenneth|Carter|kenneth.carter7@allstateagency.com|(458) 689-2869|Allstate Agency|Omaha|NE|68101|LIC520172|MO~CA~KY~TX|Multi-Line|2012-04-20||1|18|288510.58|2012-04-20|2012-08-07
AGT00045|Barbara|Martinez|barbara.martinez98@statefarmoffice.com|+16268204697|State Farm Office|Tampa|FL|33601|LIC498855|MN|Multi-Line|2016-10-25||1|113|148676.57|2016-10-25|2019-03-22
AGT00046|Lisa|Torres|lisa.torres27@cnapartners.com|(840)416-5335|CNA Partners|Bakersfield|CA|93301|LIC185131|KY|Homeowners|2011-05-09||1|61|86906.77|2011-05-09|2011-10-09
AGT00047|David|Smith|david.smith37@cnapartners.com|(923) 489-8438|CNA Partners|Tucson|AZ|85701|LIC820775|IN|Homeowners|2020-02-08||1|67|393914.01|2020-02-08|2021-03-19
AGT00048|Sandra|Davis|sandra.davis22@nationwidepartners.com|5148095728|Nationwide Partners|Cleveland|OH|44101|LIC230394|AZ~TX|Multi-Line|2015-01-16||1|77|349866.84|2015-01-16|2016-07-26
AGT00049|Steven|Wright|steven.wright4@statefarmoffice.com|(293)434-1339|State Farm Office|Omaha|NE|68101|LIC961322|PA~TN~TX~WA|Commercial|2019-10-27||1|147|20115.84|2019-10-27|2020-10-19
AGT00050|Donald|King|donald.king45@progressivedirect.com|(618)541-6260|Progressive Direct|Anaheim|CA|92801|LIC209680|HI~NE~PA~MO|Homeowners|2019-12-02||1|84|205822.54|2019-12-02|2022-09-11
AGT00051|Charles|Nelson|charles.nelson52@travelersagency.com|7262019889|Travelers Agency|Albuquerque|NM|87101|LIC533321|TN~CA~AK|Auto|2010-10-28||1|48|259219.7|2010-10-28|2013-08-13
AGT00052|Kenneth|Lewis|kenneth.lewis90@libertymutualgroup.com|(696)324-1472|Liberty Mutual Group|Lexington|KY|40502|LIC738448|TN~CA|Homeowners|2011-02-27||1|40|155375.07|2011-02-27|2011-03-27
AGT00053|Emily|Clark|emily.clark20@statefarmoffice.com|+17109335781|State Farm Office|Philadelphia|PA|19101|LIC839677|CA|Commercial|2015-01-15||1|106|417361.97|2015-01-15|2017-09-08
AGT00054|Sarah|Robinson|sarah.robinson99@usaaagency.com|624.548.9318|USAA Agency|Minneapolis|MN|55401|LIC960408|AZ~CO|Auto|2013-03-30||1|72|363025.49|2013-03-30|2015-12-27
AGT00055|Barbara|Lewis|barbara.lewis31@farmersinsurance.com|7855924826|Farmers Insurance|Cleveland|OH|44101|LIC145767|GA~TN~OH~TX|Commercial|2020-11-11||1|121|352613.94|2020-11-11|2022-12-31
AGT00056|Matthew|Nelson|matthew.nelson43@travelersagency.com|+13026502633|Travelers Agency|Anaheim|CA|92801|LIC579123|NC~LA|Auto|2013-05-31||1|36|204989.31|2013-05-31|2014-04-12
AGT00057|Robert|Walker|robert.walker87@cnapartners.com|(746)589-6188|CNA Partners|Seattle|WA|98101|LIC853629|KY|Multi-Line|2017-08-05||1|138|17949.55|2017-08-05|2017-12-23
AGT00058|Sarah|Green|sarah.green13@libertymutualgroup.com|(654) 370-5906|Liberty Mutual Group|Santa Ana|CA|92701|LIC148225|TX~KY~HI~CA|Commercial|2016-06-12||1|14|146683.89|2016-06-12|2018-07-19
AGT00059|Sandra|Martinez|sandra.martinez11@usaaagency.com|8245914945|USAA Agency|San Francisco|CA|94101|LIC711484|TX~TX|Homeowners|2021-11-30||1|59|230574.96|2021-11-30|2023-05-04
AGT00060|Ashley|Taylor|ashley.taylor45@travelersagency.com|(801)506-7951|Travelers Agency|Aurora|CO|80010|LIC362246|AZ~CA|Multi-Line|2010-03-18||1|77|99608.5|2010-03-18|2012-05-13
AGT00061|Donald|Miller|donald.miller85@cnapartners.com|+16054811132|CNA Partners|San Francisco|CA|94101|LIC819112|TX~TN~CA|Auto|2018-07-22||1|127|416419.45|2018-07-22|2020-02-28
AGT00062|Stephanie|Anderson|stephanie.anderson99@libertymutualgroup.com|(875)897-3240|Liberty Mutual Group|Arlington|TX|76001|LIC201883|CA~KY~MO|Auto|2017-11-26||1|79|394305.24|2017-11-26|2018-02-02
AGT00063|Donna|White|donna.white26@statefarmoffice.com|+13357526994|State Farm Office|St. Louis|MO|63101|LIC626169|PA~AZ~TX|Commercial|2012-12-12||1|42|128485.04|2012-12-12|2015-08-25
AGT00064|Charles|Mitchell|charles.mitchell87@travelersagency.com|+19418907511|Travelers Agency|Louisville|KY|40201|LIC483542|KY~IN|Auto|2012-08-01||1|101|6959.33|2012-08-01|2013-04-11
AGT00065|Ashley|White|ashley.white61@cnapartners.com|+12258346374|CNA Partners|Santa Ana|CA|92701|LIC332120|TX~CA~IN|Auto|2015-11-18||1|118|454693.82|2015-11-18|2017-07-28
AGT00066|Carol|Clark|carol.clark31@allstateagency.com|7503387367|Allstate Agency|San Diego|CA|92101|LIC489033|NE~CA~TX|All Lines|2013-02-19||1|107|293670.17|2013-02-19|2014-01-01
AGT00067|Anthony|Adams|anthony.adams28@cnapartners.com|654.655.4868|CNA Partners|San Antonio|TX|78201|LIC204180|IL~TX~NV|Commercial|2020-12-22||1|139|450848.11|2020-12-22|2022-12-26
AGT00068|Patricia|Sanchez|patricia.sanchez82@statefarmoffice.com|811.221.1828|State Farm Office|Denver|CO|80201|LIC355400|PA~CO~NC~CA|Homeowners|2014-04-04||1|144|102602.79|2014-04-04|2015-06-02
AGT00069|Donna|Wilson|donna.wilson19@nationwidepartners.com|333-753-5106|Nationwide Partners|Indianapolis|IN|46201|LIC215266|CO|Auto|2017-05-15||1|33|7430.16|2017-05-15|2018-09-14
AGT00070|Donna|Lee|donna.lee61@progressivedirect.com|+16599966931|Progressive Direct|Los Angeles|CA|90001|LIC722503|FL~CA~PA~AZ|Auto|2013-11-28|2019-12-23|0|0|0.0|2013-11-28|2016-09-24
AGT00071|Joseph|Flores|joseph.flores62@progressivedirect.com|6116362768|Progressive Direct|Chicago|IL|60601|LIC847006|TX|Multi-Line|2021-09-11||1|18|449633.38|2021-09-11|2023-07-02
AGT00072|Joshua|Martinez|joshua.martinez38@progressivedirect.com|(664) 717-8048|Progressive Direct|Phoenix|AZ|85001|LIC931621|WI~TX~FL|Auto|2012-10-30||1|141|360419.96|2012-10-30|2014-01-13
AGT00073|Sandra|Lewis|sandra.lewis55@farmersinsurance.com|520.881.5176|Farmers Insurance|Indianapolis|IN|46201|LIC260053|AZ~MO~TX~TN|Multi-Line|2019-04-13||1|17|45612.39|2019-04-13|2019-10-04
AGT00074|Jennifer|Ramirez|jennifer.ramirez46@nationwidepartners.com|(881)968-7929|Nationwide Partners|San Antonio|TX|78201|LIC153945|CO~CA~AZ|Commercial|2018-05-11||1|79|175823.09|2018-05-11|2021-03-15
AGT00075|Jessica|Martinez|jessica.martinez98@libertymutualgroup.com|4857874705|Liberty Mutual Group|Aurora|CO|80010|LIC986209|MN~NV~CA|All Lines|2020-10-25||1|142|13126.92|2020-10-25|2022-04-25
AGT00076|Mary|Lopez|mary.lopez85@farmersinsurance.com|(610)271-3324|Farmers Insurance|Denver|CO|80201|LIC763928|FL~FL|Auto|2016-12-06||1|23|373055.88|2016-12-06|2018-02-19
AGT00077|Matthew|Clark|matthew.clark11@nationwidepartners.com|+12533593579|Nationwide Partners|Atlanta|GA|30301|LIC152179|AK~FL~TX|Auto|2017-08-24||1|69|221556.49|2017-08-24|2020-01-09
AGT00078|Dorothy|Hill|dorothy.hill56@progressivedirect.com|+13134908972|Progressive Direct|Sacramento|CA|95801|LIC799539|OR|Commercial|2019-04-16||1|11|110259.22|2019-04-16|2019-08-06
AGT00079|James|Wilson|james.wilson64@nationwidepartners.com|964-640-3878|Nationwide Partners|Oklahoma City|OK|73101|LIC498676|TN~CA~NY|All Lines|2014-09-27||1|58|250131.17|2014-09-27|2016-09-21
AGT00080|Robert|Sanchez|robert.sanchez74@usaaagency.com|(639)787-7626|USAA Agency|Pittsburgh|PA|15201|LIC771237|TN|Multi-Line|2010-12-13|2015-03-12|0|0|0.0|2010-12-13|2011-08-05
AGT00081|Margaret|Johnson|margaret.johnson32@cnapartners.com|+16468037560|CNA Partners|Memphis|TN|38101|LIC182467|PA~CA~TX|Multi-Line|2013-11-08||1|79|372902.41|2013-11-08|2015-02-04
AGT00082|Nancy|Roberts|nancy.roberts45@hartfordagency.com|944-860-3419|Hartford Agency|Austin|TX|73301|LIC207798|AK~OR|Homeowners|2011-09-18||1|65|98635.9|2011-09-18|2012-07-27
AGT00083|Timothy|Carter|timothy.carter58@nationwidepartners.com|(897)778-6295|Nationwide Partners|Anaheim|CA|92801|LIC431495|GA~KY~FL~LA|Homeowners|2011-09-10||1|112|34143.13|2011-09-10|2014-03-03
AGT00084|Kenneth|Martin|kenneth.martin8@farmersinsurance.com|(577)493-2257|Farmers Insurance|Denver|CO|80201|LIC996840|GA~CA~IL|Auto|2011-04-06||1|129|192241.24|2011-04-06|2011-06-29
AGT00085|Mark|Torres|mark.torres14@farmersinsurance.com|+15519312381|Farmers Insurance|Anaheim|CA|92801|LIC777513|TX~CA|Homeowners|2014-03-23||1|10|123871.86|2014-03-23|2016-09-04
AGT00086|Mark|King|mark.king44@farmersinsurance.com|(895)812-1857|Farmers Insurance|Miami|FL|33101|LIC778748|WI~AZ~AK|Commercial|2013-07-24||1|16|164845.38|2013-07-24|2015-09-23
AGT00087|Charles|Taylor|charles.taylor84@farmersinsurance.com|915-878-7421|Farmers Insurance|St. Louis|MO|63101|LIC723945|OR~OK|Auto|2013-05-16||1|79|279461.04|2013-05-16|2015-03-19
AGT00088|William|Nelson|william.nelson24@statefarmoffice.com|419-549-8967|State Farm Office|Corpus Christi|TX|78401|LIC337547|NC~NV~CA~OK|Homeowners|2021-10-22||1|39|38582.54|2021-10-22|2022-05-17
